sku;data_rodagem;intercepto_tscv;coef_log_preco_tscv;coef_quarta-feira_tscv;coef_terça-feira_tscv;coef_log_preco_sarimax;AIC_sarimax;BIC_sarimax;AIC_cruzado;BIC_cruzado
85519;29/09/2025 16:41;16,54475965;-2,385633336;0,265060066;-0,052774085;-2,09011458;1141,855082;1166,947591;829,3308889;842,7503527
107604;29/09/2025 16:41;0,291594797;-0,315627987;-0,02248347;0,26694293;6,287549978;941,4216583;962,4536475;651,4474209;662,4921665
72482;29/09/2025 16:41;25,53163243;-5,23149776;0,236003826;0,285811792;-3,653482084;2713,36329;2743,260466;2150,775793;2167,267939
72063;29/09/2025 16:41;27,97457559;-5,996687778;-0,164557252;-0,14317816;-6,067818981;3511,351348;3541,259646;2688,194894;2704,709868
77243;29/09/2025 16:41;4,320762773;-0,603765254;0,585439922;0,363911095;3,404762676;2777,596645;2805,954045;1817,568688;1833,045721
77244;29/09/2025 16:42;17,86829446;-3,540841645;0,168283667;0,214224622;-3,351639401;2580,76319;2609,120591;1718,546034;1734,023067
76095;29/09/2025 16:42;16,40978176;-2,683663028;0,372688216;0,265580324;-3,208468327;1592,426949;1620,21896;357,8647584;368,5396009
45251;29/09/2025 16:42;37,46561712;-6,28343673;0,218835179;0,299656009;-3,942955896;2965,974796;2995,816054;1880,126377;1896,59017
6574;29/09/2025 16:42;5,372986078;-1,084859969;0,143111614;0,397397919;-0,019443978;1057,531454;1085,006961;181,5530968;189,060106
7172;29/09/2025 16:42;33,92863274;-5,354094918;0,141704013;0,15977503;-8,532288412;1110,380934;1140,289232;817,0122359;833,52721
6763;29/09/2025 16:42;38,18288994;-5,9564409;0,263754424;0,281396021;-0,448368198;3180,734603;3210,642901;1716,960706;1733,47568
76321;29/09/2025 16:42;21,32796358;-2,959684397;0,271954519;0,053285217;-1,302473257;2951,865886;2980,60647;1792,173255;1807,898328
54995;29/09/2025 16:42;53,55899676;-8,34825151;0,201713252;0,123115442;-1,798503381;3217,120487;3246,961745;2579,643532;2596,107326
23549;29/09/2025 16:42;17,55992587;-2,916791018;-0,152554223;-0,282089276;-1,305455972;1441,630056;1471,465694;397,4987372;409,1840061
25526;29/09/2025 16:42;30,72726984;-6,080160779;0,068825645;-0,066531645;-6,039006955;4602,829136;4632,720744;2327,855388;2344,336033
67200;29/09/2025 16:42;14,1137636;-2,100159057;-0,100548103;-0,135888025;-1,208445436;1818,199984;1848,063672;590,3774854;603,7841814
78487;29/09/2025 16:42;50,43886381;-9,476393006;-0,084456128;0,011794129;-8,977990331;3558,35932;3586,399108;1800,929317;1816,211761
17882;29/09/2025 16:42;47,71746853;-7,020537718;0,154299259;0,137346478;-6,149092394;2525,093761;2555,002059;1274,494896;1291,00987
13267;29/09/2025 16:43;47,50966991;-8,251891336;0,092520421;-0,138473108;-2,177381953;4280,422899;4310,247279;2557,153504;2573,582453
47555;29/09/2025 16:43;29,62470514;-6,548476245;0,132424528;0,162069686;-8,936050835;3683,025363;3712,928102;2403,749196;2420,252784
22279;29/09/2025 16:43;24,03931044;-5,114543926;0,184467506;0,081153967;-6,653976539;3232,940866;3262,849163;2324,745126;2341,2601
49688;29/09/2025 16:43;3,923804138;-0,771607485;-0,353006788;-0,096330156;-0,39490994;1575,720332;1605,070088;339,6808385;349,9811968
13766;29/09/2025 16:43;17,55630815;-3,834745795;0,099246801;0,121749004;-1,193189532;3061,115843;3091,024141;1882,23172;1898,746694
64495;29/09/2025 16:43;10,22529504;-2,753758287;0,348853124;0,410944018;3,568227801;3751,852403;3781,760701;2595,703684;2612,218658
88308;29/09/2025 16:43;4,699534057;-0,822035563;0,190311673;-0,287108469;-3,981381375;1356,090436;1379,699801;707,6199686;720,1956941
88307;29/09/2025 16:43;-5,597725351;1,385345614;0,173265258;0,148899505;-0,490159001;1798,576135;1822,137692;957,8565908;970,3427945
